id,pertanyaan,jawaban,kategori,cleaning,case_folding,normalisasi,tokenisasi,stopword_removal
481,cara daftar kidsland,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
482,ank usiaa 3 tahun cocok aktivitas ap?,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usiaa tahun cocok aktivitas ap,ank usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
483,cara daftar kidsland,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
484,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
485,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
486,lokasi kegiatan dimana dong,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,lokasi kegiatan dimana dong,"['lokasi', 'kegiatan', 'dimana', 'dong']","['lokasi', 'kegiatan', 'dimana']"
487,jdwl kegiatan kidsland kapn??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapn,jdwl kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
488,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
489,anak usiaa 3 tahun cocok aktivitas apa??,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
490,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
491,ank usia 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
492,kelas awan untuk usia berapa,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berapa,kelas awan untuk usia berapa,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
493,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
494,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
495,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
496,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
497,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
498,lokasi kegiatan dimana ya,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,lokasi kegiatan dimana ya,"['lokasi', 'kegiatan', 'dimana', 'ya']","['lokasi', 'kegiatan', 'dimana', 'ya']"
499,anak suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
500,ank usia 5 tahun cocok aktivitas apa,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
501,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
502,ank usia 5 tahun cocok aktivitas apa ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa ya,ank usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ya']"
503,ank usia 5 tahun cocok aktivitas apa??,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
504,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
505,jdwl kegiatan kidsland kapan dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan dong,jdwl kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'dong']","['jadwal', 'kegiatan', 'kidsland']"
506,ank usia 5 tahun cocok aktivitas apa,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa,ank usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
507,ank suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
508,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
509,kelas awan untuk usia berap?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berap,kelas awan untuk usia berap,kelas awan untuk usia berap,"['kelas', 'awan', 'untuk', 'usia', 'berap']","['kelas', 'awan', 'usia', 'berap']"
510,kelas awan untuk usia berap,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia berap,kelas awan untuk usia berap,kelas awan untuk usia berap,"['kelas', 'awan', 'untuk', 'usia', 'berap']","['kelas', 'awan', 'usia', 'berap']"
511,kelas bumi utk usiaa berapa ya,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usiaa berapa ya,kelas bumi utk usiaa berapa ya,kelas bumi untuk usiaa berapa ya,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa', 'ya']","['kelas', 'bumi', 'usiaa', 'ya']"
512,ank suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,ank suka menggambar,ank suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
513,lokasi kegiatan dimana??,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
514,kls bumi utk usia brp dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi utk usia brp dong,kls bumi utk usia brp dong,kelas bumi untuk usia berapa dong,"['kelas', 'bumi', 'untuk', 'usia', 'berapa', 'dong']","['kelas', 'bumi', 'usia']"
515,anak suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
516,jdwl kegiatan kidsland kapan ya,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan ya,jdwl kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'ya']","['jadwal', 'kegiatan', 'kidsland', 'ya']"
517,lokasi kegiatan dimana??,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
518,anak suka menggambar??,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
519,kelas awan utk usia brp ya,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan utk usia brp ya,kelas awan utk usia brp ya,kelas awan untuk usia berapa ya,"['kelas', 'awan', 'untuk', 'usia', 'berapa', 'ya']","['kelas', 'awan', 'usia', 'ya']"
520,ank usia 5 tahun cocok aktivitas apa dong,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa dong,ank usia tahun cocok aktivitas apa dong,anak usia tahun cocok aktivitas apa dong,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'dong']","['anak', 'usia', 'cocok', 'aktivitas']"
521,ank usia 5 tahun cocok aktivitas apa ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,ank usia tahun cocok aktivitas apa ya,ank usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ya']"
522,kelas bumi utk usiaa berapa,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usiaa berapa,kelas bumi utk usiaa berapa,kelas bumi untuk usiaa berapa,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa']","['kelas', 'bumi', 'usiaa']"
523,anak usiaa 3 tahun cocok aktivitas ap...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
524,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
525,jdwl kegiatan kidsland kapan...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jdwl kegiatan kidsland kapan,jdwl kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
526,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
527,kelas bumi untuk usiaa berapa??,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usiaa berapa,kelas bumi untuk usiaa berapa,kelas bumi untuk usiaa berapa,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa']","['kelas', 'bumi', 'usiaa']"
528,ank usia 3 tahun cocok aktivitas apa dong,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,ank usia tahun cocok aktivitas apa dong,ank usia tahun cocok aktivitas apa dong,anak usia tahun cocok aktivitas apa dong,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'dong']","['anak', 'usia', 'cocok', 'aktivitas']"
529,kls bumi untuk usia berapa dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi untuk usia berapa dong,kls bumi untuk usia berapa dong,kelas bumi untuk usia berapa dong,"['kelas', 'bumi', 'untuk', 'usia', 'berapa', 'dong']","['kelas', 'bumi', 'usia']"
530,anak usiaa 3 tahun cocok aktivitas ap...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
531,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
532,anak usia 3 tahun cocok aktivitas apa?,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
533,anak usia 3 tahun cocok aktivitas ap?,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,anak usia tahun cocok aktivitas ap,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usia', 'cocok', 'aktivitas', 'ap']"
534,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
535,jadwal kegiatan kidsland kapan?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
536,lokasi kegiatan dimana...,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
537,kelas bumi untuk usiaa berapa dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usiaa berapa dong,kelas bumi untuk usiaa berapa dong,kelas bumi untuk usiaa berapa dong,"['kelas', 'bumi', 'untuk', 'usiaa', 'berapa', 'dong']","['kelas', 'bumi', 'usiaa']"
538,cara daftar kidsland dong,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland dong,cara daftar kidsland dong,cara daftar kidsland dong,"['cara', 'daftar', 'kidsland', 'dong']","['daftar', 'kidsland']"
539,jadwal kegiatan kidsland kapan...,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
540,cara daftar kidsland??,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
541,anak usia 3 tahun cocok aktivitas apa ya,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,anak usia tahun cocok aktivitas apa ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ya']"
542,anak suka menggambar,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
543,kelas awan untuk usiaa berap?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usiaa berap,kelas awan untuk usiaa berap,kelas awan untuk usiaa berap,"['kelas', 'awan', 'untuk', 'usiaa', 'berap']","['kelas', 'awan', 'usiaa', 'berap']"
544,kelas awan untuk usia brp?,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usia brp,kelas awan untuk usia brp,kelas awan untuk usia berapa,"['kelas', 'awan', 'untuk', 'usia', 'berapa']","['kelas', 'awan', 'usia']"
545,jadwal kegiatan kidsland kapan dong,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,jadwal kegiatan kidsland kapan dong,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'dong']","['jadwal', 'kegiatan', 'kidsland']"
546,anak suka menggambar ya,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar ya,anak suka menggambar ya,anak suka menggambar ya,"['anak', 'suka', 'menggambar', 'ya']","['anak', 'suka', 'menggambar', 'ya']"
547,jadwal kegiatan kidsland kapn??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,jadwal kegiatan kidsland kapn,"['jadwal', 'kegiatan', 'kidsland', 'kapn']","['jadwal', 'kegiatan', 'kidsland', 'kapn']"
548,anak suka menggambar...,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
549,kelas bumi untuk usia berap??,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berap,kelas bumi untuk usia berap,kelas bumi untuk usia berap,"['kelas', 'bumi', 'untuk', 'usia', 'berap']","['kelas', 'bumi', 'usia', 'berap']"
550,anak suka menggambar??,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
551,anak usia 5 tahun cocok aktivitas ap ya,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usia tahun cocok aktivitas ap ya,anak usia tahun cocok aktivitas ap ya,anak usia tahun cocok aktivitas ap ya,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'ap', 'ya']","['anak', 'usia', 'cocok', 'aktivitas', 'ap', 'ya']"
552,jadwal kegiatan kidsland kapan ya,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,jadwal kegiatan kidsland kapan ya,"['jadwal', 'kegiatan', 'kidsland', 'kapan', 'ya']","['jadwal', 'kegiatan', 'kidsland', 'ya']"
553,anak suka menggambar?,Melukis dan Kolase direkomendasikan untuk anak yang suka menggambar.,REKOMENDASI,anak suka menggambar,anak suka menggambar,anak suka menggambar,"['anak', 'suka', 'menggambar']","['anak', 'suka', 'menggambar']"
554,anak usia 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,anak usia tahun cocok aktivitas apa,"['anak', 'usia', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usia', 'cocok', 'aktivitas']"
555,kelas bumi utk usia brp??,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usia brp,kelas bumi utk usia brp,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
556,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
557,cara daftar kidsland?,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
558,lokasi kegiatan dimana,Informasi lokasi dapat diperoleh melalui admin Kidsland Membumi.,FAQ,lokasi kegiatan dimana,lokasi kegiatan dimana,lokasi kegiatan dimana,"['lokasi', 'kegiatan', 'dimana']","['lokasi', 'kegiatan', 'dimana']"
559,kelas bumi untuk usia berapa??,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
560,anak usiaa 5 tahun cocok aktivitas ap...,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,anak usiaa tahun cocok aktivitas ap,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
561,jadwal kegiatan kidsland kapan??,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
562,jadwal kegiatan kidsland kapan?,Kegiatan Kidsland Membumi dilaksanakan sesuai jadwal yang telah ditentukan.,FAQ,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,jadwal kegiatan kidsland kapan,"['jadwal', 'kegiatan', 'kidsland', 'kapan']","['jadwal', 'kegiatan', 'kidsland']"
563,kelas bumi untuk usia berapa...,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
564,cara daftar kidsland...,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland,cara daftar kidsland,cara daftar kidsland,"['cara', 'daftar', 'kidsland']","['daftar', 'kidsland']"
565,kelas awan untuk usiaa berapa,Kelas Awan diperuntukkan bagi anak usia 3 sampai 6 tahun.,FAQ,kelas awan untuk usiaa berapa,kelas awan untuk usiaa berapa,kelas awan untuk usiaa berapa,"['kelas', 'awan', 'untuk', 'usiaa', 'berapa']","['kelas', 'awan', 'usiaa']"
566,kelas bumi utk usia berap dong,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kelas bumi utk usia berap dong,kelas bumi utk usia berap dong,kelas bumi untuk usia berap dong,"['kelas', 'bumi', 'untuk', 'usia', 'berap', 'dong']","['kelas', 'bumi', 'usia', 'berap']"
567,anak usiaa 3 tahun cocok aktivitas apa...,Bermain Sensorik dan Bermain Air direkomendasikan untuk anak usia 3 tahun.,REKOMENDASI,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,anak usiaa tahun cocok aktivitas apa,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'apa']","['anak', 'usiaa', 'cocok', 'aktivitas']"
568,kls bumi utk usia berapa...,Kelas Bumi diperuntukkan bagi anak usia 7 sampai 10 tahun.,FAQ,kls bumi utk usia berapa,kls bumi utk usia berapa,kelas bumi untuk usia berapa,"['kelas', 'bumi', 'untuk', 'usia', 'berapa']","['kelas', 'bumi', 'usia']"
569,cara daftar kidsland ya,Pendaftaran dapat dilakukan melalui admin Kidsland Membumi.,FAQ,cara daftar kidsland ya,cara daftar kidsland ya,cara daftar kidsland ya,"['cara', 'daftar', 'kidsland', 'ya']","['daftar', 'kidsland', 'ya']"
570,anak usiaa 5 tahun cocok aktivitas ap dong,"Melukis, Bermain Peran, dan Berkebun direkomendasikan untuk anak usia 5 tahun.",REKOMENDASI,anak usiaa tahun cocok aktivitas ap dong,anak usiaa tahun cocok aktivitas ap dong,anak usiaa tahun cocok aktivitas ap dong,"['anak', 'usiaa', 'tahun', 'cocok', 'aktivitas', 'ap', 'dong']","['anak', 'usiaa', 'cocok', 'aktivitas', 'ap']"
